BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
0,CO,1,Y,MOD,PR,2
0,CO,10,Y,MOD,PR,2
0,CO,100,Y,MOD,PR,2
0,CO,101,Y,MOD,PR,2
0,CO,102,Y,MOD,PR,2
0,CO,103,Y,MOD,PR,2
0,CO,104,Y,MOD,PR,2
0,CO,105,Y,MOD,PR,2
0,CO,106,Y,MOD,PR,2
0,CO,107,Y,MOD,PR,2
0,CO,108,Y,MOD,PR,2
0,CO,109,Y,MOD,PR,2
0,CO,11,Y,MOD,PR,2
0,CO,110,Y,MOD,PR,2
0,CO,111,Y,MOD,PR,2
0,CO,112,Y,MOD,PR,2
0,CO,113,Y,MOD,PR,2
0,CO,114,Y,MOD,PR,2
0,CO,115,Y,MOD,PR,2
0,CO,116,Y,MOD,PR,2
0,CO,117,Y,MOD,PR,2
0,CO,118,Y,MOD,PR,2
0,CO,119,Y,MOD,PR,2
0,CO,12,Y,MOD,PR,2
0,CO,120,Y,MOD,PR,2
0,CO,121,Y,MOD,PR,2
0,CO,122,Y,MOD,PR,2
0,CO,123,Y,MOD,PR,2
0,CO,124,Y,MOD,PR,2
0,CO,125,Y,MOD,PR,2
0,CO,126,Y,MOD,PR,2
0,CO,127,Y,MOD,PR,2
0,CO,128,Y,MOD,PR,2
0,CO,129,Y,MOD,PR,2
0,CO,13,Y,MOD,PR,2
0,CO,130,Y,MOD,PR,2
0,CO,131,Y,MOD,PR,2
0,CO,132,Y,MOD,PR,2
0,CO,133,Y,MOD,PR,2
0,CO,134,Y,MOD,PR,2
0,CO,135,Y,MOD,PR,2
0,CO,136,Y,MOD,PR,2
0,CO,137,Y,MOD,PR,2
0,CO,138,Y,MOD,PR,2
0,CO,139,Y,MOD,PR,2
0,CO,14,Y,MOD,PR,2
0,CO,140,Y,MOD,PR,2
0,CO,141,Y,MOD,PR,2
0,CO,142,Y,MOD,PR,2
0,CO,143,Y,MOD,PR,2
0,CO,144,Y,MOD,PR,2
0,CO,145,Y,MOD,PR,2
0,CO,146,Y,MOD,PR,2
0,CO,147,Y,MOD,PR,2
0,CO,148,Y,MOD,PR,2
0,CO,149,Y,MOD,PR,2
0,CO,15,Y,MOD,PR,2
0,CO,150,Y,MOD,PR,2
0,CO,151,Y,MOD,PR,2
0,CO,152,Y,MOD,PR,2
0,CO,153,Y,MOD,PR,2
0,CO,154,Y,MOD,PR,2
0,CO,155,Y,MOD,PR,2
0,CO,156,Y,MOD,PR,2
0,CO,157,Y,MOD,PR,2
0,CO,158,Y,MOD,PR,2
0,CO,159,Y,MOD,PR,2
0,CO,16,Y,MOD,PR,2
0,CO,160,Y,MOD,PR,2
0,CO,161,Y,MOD,PR,2
0,CO,162,Y,MOD,PR,2
0,CO,163,Y,MOD,PR,2
0,CO,164,Y,MOD,PR,2
0,CO,165,Y,MOD,PR,2
0,CO,166,Y,MOD,PR,2
0,CO,167,Y,MOD,PR,2
0,CO,168,Y,MOD,PR,2
0,CO,169,Y,MOD,PR,2
0,CO,17,Y,MOD,PR,2
0,CO,170,Y,MOD,PR,2
